                K0s_minCosPointingAngle = 0.999200 |                 K0s_minCosPointingAngle = 0.999300 |                 K0s_minCosPointingAngle = 0.999400 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.500000 +- 0.657967 (0.000000%)  |          Lambda: 1.500000 +- 0.696645 (0.000000%)  |         Lambda: 1.499999 +- 0.738786 (-0.000067%)  | 
         Radius: 3.499574 +- 0.562331 (0.950755%)  |          Radius: 3.466615 +- 0.568247 (0.000000%)  |          Radius: 3.471484 +- 0.522391 (0.140454%)  | 
          Ref0: -0.146322 +- 0.042327 (1.721992%)  |          Ref0: -0.143845 +- 0.041598 (-0.000000%)  |           Ref0: -0.147925 +- 0.039234 (2.836386%)  | 
           Imf0: 0.111865 +- 0.037804 (3.189831%)  |            Imf0: 0.108407 +- 0.037321 (0.000000%)  |            Imf0: 0.109996 +- 0.035255 (1.465773%)  | 
             d0: 3.778838 +- 1.219747 (0.568814%)  |              d0: 3.757465 +- 1.269386 (0.000000%)  |             d0: 3.652803 +- 1.167592 (-2.785442%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 1.378106 +- 0.156024 (-2.784879%)  |          Lambda: 1.417584 +- 0.160074 (0.000000%)  |          Lambda: 1.425899 +- 0.158704 (0.586561%)  | 
         Radius: 3.499574 +- 0.562331 (0.950755%)  |          Radius: 3.466615 +- 0.568247 (0.000000%)  |          Radius: 3.471484 +- 0.522391 (0.140454%)  | 
          Ref0: -0.146322 +- 0.042327 (1.721992%)  |          Ref0: -0.143845 +- 0.041598 (-0.000000%)  |           Ref0: -0.147925 +- 0.039234 (2.836386%)  | 
           Imf0: 0.111865 +- 0.037804 (3.189831%)  |            Imf0: 0.108407 +- 0.037321 (0.000000%)  |            Imf0: 0.109996 +- 0.035255 (1.465773%)  | 
             d0: 3.778838 +- 1.219747 (0.568814%)  |              d0: 3.757465 +- 1.269386 (0.000000%)  |             d0: 3.652803 +- 1.167592 (-2.785442%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.631975 +- 0.093430 (4.460232%)  |          Lambda: 0.604991 +- 0.660711 (0.000000%)  |          Lambda: 0.617426 +- 0.107959 (2.055402%)  | 
         Radius: 1.809638 +- 0.316023 (5.402155%)  |          Radius: 1.716889 +- 0.307597 (0.000000%)  |          Radius: 1.716984 +- 0.281378 (0.005533%)  | 
          Ref0: -0.146322 +- 0.042327 (1.721992%)  |          Ref0: -0.143845 +- 0.041598 (-0.000000%)  |           Ref0: -0.147925 +- 0.039234 (2.836386%)  | 
           Imf0: 0.111865 +- 0.037804 (3.189831%)  |            Imf0: 0.108407 +- 0.037321 (0.000000%)  |            Imf0: 0.109996 +- 0.035255 (1.465773%)  | 
             d0: 3.778838 +- 1.219747 (0.568814%)  |              d0: 3.757465 +- 1.269386 (0.000000%)  |             d0: 3.652803 +- 1.167592 (-2.785442%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600000 +- 0.158060 (0.000000%)  |          Lambda: 0.600000 +- 0.182764 (0.000000%)  |          Lambda: 0.600000 +- 0.564279 (0.000000%)  | 
         Radius: 1.809638 +- 0.316023 (5.402155%)  |          Radius: 1.716889 +- 0.307597 (0.000000%)  |          Radius: 1.716984 +- 0.281378 (0.005533%)  | 
          Ref0: -0.146322 +- 0.042327 (1.721992%)  |          Ref0: -0.143845 +- 0.041598 (-0.000000%)  |           Ref0: -0.147925 +- 0.039234 (2.836386%)  | 
           Imf0: 0.111865 +- 0.037804 (3.189831%)  |            Imf0: 0.108407 +- 0.037321 (0.000000%)  |            Imf0: 0.109996 +- 0.035255 (1.465773%)  | 
             d0: 3.778838 +- 1.219747 (0.568814%)  |              d0: 3.757465 +- 1.269386 (0.000000%)  |             d0: 3.652803 +- 1.167592 (-2.785442%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.201896 +- 0.723686 (4.355074%)  |          Lambda: 1.151737 +- 0.695856 (0.000000%)  |         Lambda: 1.149343 +- 0.694226 (-0.207860%)  | 
         Radius: 1.798790 +- 0.447001 (4.376733%)  |          Radius: 1.723363 +- 0.416500 (0.000000%)  |         Radius: 1.711255 +- 0.427731 (-0.702580%)  | 
          Ref0: -0.146322 +- 0.042327 (1.721992%)  |          Ref0: -0.143845 +- 0.041598 (-0.000000%)  |           Ref0: -0.147925 +- 0.039234 (2.836386%)  | 
           Imf0: 0.111865 +- 0.037804 (3.189831%)  |            Imf0: 0.108407 +- 0.037321 (0.000000%)  |            Imf0: 0.109996 +- 0.035255 (1.465773%)  | 
             d0: 3.778838 +- 1.219747 (0.568814%)  |              d0: 3.757465 +- 1.269386 (0.000000%)  |             d0: 3.652803 +- 1.167592 (-2.785442%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.115556 +- 0.686667 (1.344715%)  |          Lambda: 1.100754 +- 0.676115 (0.000000%)  |         Lambda: 1.058059 +- 0.659844 (-3.878705%)  | 
         Radius: 1.798790 +- 0.447001 (4.376733%)  |          Radius: 1.723363 +- 0.416500 (0.000000%)  |         Radius: 1.711255 +- 0.427731 (-0.702580%)  | 
          Ref0: -0.146322 +- 0.042327 (1.721992%)  |          Ref0: -0.143845 +- 0.041598 (-0.000000%)  |           Ref0: -0.147925 +- 0.039234 (2.836386%)  | 
           Imf0: 0.111865 +- 0.037804 (3.189831%)  |            Imf0: 0.108407 +- 0.037321 (0.000000%)  |            Imf0: 0.109996 +- 0.035255 (1.465773%)  | 
             d0: 3.778838 +- 1.219747 (0.568814%)  |              d0: 3.757465 +- 1.269386 (0.000000%)  |             d0: 3.652803 +- 1.167592 (-2.785442%)  | 
                                                   |                                                    |                                                    | 
