                K0s_minCosPointingAngle = 0.999200 |                 K0s_minCosPointingAngle = 0.999300 |                 K0s_minCosPointingAngle = 0.999400 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.358922 +- 0.249930 (7.279558%)  |          Lambda: 0.334567 +- 0.229080 (0.000000%)  |         Lambda: 0.312617 +- 0.202631 (-6.560719%)  | 
         Radius: 3.899902 +- 1.045246 (2.690155%)  |          Radius: 3.797737 +- 0.991842 (0.000000%)  |         Radius: 3.721375 +- 0.920652 (-2.010724%)  | 
         Ref0: -0.250028 +- 0.243909 (-0.975873%)  |          Ref0: -0.252492 +- 0.241752 (-0.000000%)  |           Ref0: -0.260107 +- 0.230257 (3.015937%)  | 
          Imf0: 0.429643 +- 0.102263 (-2.097537%)  |            Imf0: 0.438848 +- 0.103945 (0.000000%)  |            Imf0: 0.458020 +- 0.107021 (4.368711%)  | 
             d0: 3.059247 +- 1.198932 (3.120500%)  |              d0: 2.966672 +- 1.160138 (0.000000%)  |             d0: 2.889790 +- 1.105323 (-2.591523%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.252350 +- 0.183712 (2.168474%)  |          Lambda: 0.246994 +- 0.174729 (0.000000%)  |          Lambda: 0.247354 +- 0.163756 (0.145753%)  | 
         Radius: 3.899902 +- 1.045246 (2.690155%)  |          Radius: 3.797737 +- 0.991842 (0.000000%)  |         Radius: 3.721375 +- 0.920652 (-2.010724%)  | 
         Ref0: -0.250028 +- 0.243909 (-0.975873%)  |          Ref0: -0.252492 +- 0.241752 (-0.000000%)  |           Ref0: -0.260107 +- 0.230257 (3.015937%)  | 
          Imf0: 0.429643 +- 0.102263 (-2.097537%)  |            Imf0: 0.438848 +- 0.103945 (0.000000%)  |            Imf0: 0.458020 +- 0.107021 (4.368711%)  | 
             d0: 3.059247 +- 1.198932 (3.120500%)  |              d0: 2.966672 +- 1.160138 (0.000000%)  |             d0: 2.889790 +- 1.105323 (-2.591523%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.155013 +- 0.050954 (0.912038%)  |          Lambda: 0.153612 +- 0.048333 (0.000000%)  |          Lambda: 0.154217 +- 0.043897 (0.393849%)  | 
         Radius: 2.000000 +- 0.413876 (0.000000%)  |          Radius: 2.000000 +- 0.398459 (0.000000%)  |          Radius: 2.000000 +- 0.477113 (0.000000%)  | 
         Ref0: -0.250028 +- 0.243909 (-0.975873%)  |          Ref0: -0.252492 +- 0.241752 (-0.000000%)  |           Ref0: -0.260107 +- 0.230257 (3.015937%)  | 
          Imf0: 0.429643 +- 0.102263 (-2.097537%)  |            Imf0: 0.438848 +- 0.103945 (0.000000%)  |            Imf0: 0.458020 +- 0.107021 (4.368711%)  | 
             d0: 3.059247 +- 1.198932 (3.120500%)  |              d0: 2.966672 +- 1.160138 (0.000000%)  |             d0: 2.889790 +- 1.105323 (-2.591523%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.140785 +- 0.046581 (-6.130192%)  |          Lambda: 0.149979 +- 0.047462 (0.000000%)  |          Lambda: 0.151015 +- 0.043571 (0.690763%)  | 
         Radius: 2.000000 +- 0.413876 (0.000000%)  |          Radius: 2.000000 +- 0.398459 (0.000000%)  |          Radius: 2.000000 +- 0.477113 (0.000000%)  | 
         Ref0: -0.250028 +- 0.243909 (-0.975873%)  |          Ref0: -0.252492 +- 0.241752 (-0.000000%)  |           Ref0: -0.260107 +- 0.230257 (3.015937%)  | 
          Imf0: 0.429643 +- 0.102263 (-2.097537%)  |            Imf0: 0.438848 +- 0.103945 (0.000000%)  |            Imf0: 0.458020 +- 0.107021 (4.368711%)  | 
             d0: 3.059247 +- 1.198932 (3.120500%)  |              d0: 2.966672 +- 1.160138 (0.000000%)  |             d0: 2.889790 +- 1.105323 (-2.591523%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.524326 +- 0.549566 (2.798337%)  |          Lambda: 0.510053 +- 0.539614 (0.000000%)  |          Lambda: 0.545194 +- 0.556874 (6.889676%)  | 
         Radius: 3.109076 +- 1.080552 (1.478700%)  |          Radius: 3.063772 +- 1.050215 (0.000000%)  |          Radius: 3.252850 +- 1.136992 (6.171412%)  | 
         Ref0: -0.250028 +- 0.243909 (-0.975873%)  |          Ref0: -0.252492 +- 0.241752 (-0.000000%)  |           Ref0: -0.260107 +- 0.230257 (3.015937%)  | 
          Imf0: 0.429643 +- 0.102263 (-2.097537%)  |            Imf0: 0.438848 +- 0.103945 (0.000000%)  |            Imf0: 0.458020 +- 0.107021 (4.368711%)  | 
             d0: 3.059247 +- 1.198932 (3.120500%)  |              d0: 2.966672 +- 1.160138 (0.000000%)  |             d0: 2.889790 +- 1.105323 (-2.591523%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.181966 +- 0.163358 (0.015390%)  |          Lambda: 0.181938 +- 0.159787 (0.000000%)  |         Lambda: 0.229277 +- 0.193416 (26.019303%)  | 
         Radius: 3.109076 +- 1.080552 (1.478700%)  |          Radius: 3.063772 +- 1.050215 (0.000000%)  |          Radius: 3.252850 +- 1.136992 (6.171412%)  | 
         Ref0: -0.250028 +- 0.243909 (-0.975873%)  |          Ref0: -0.252492 +- 0.241752 (-0.000000%)  |           Ref0: -0.260107 +- 0.230257 (3.015937%)  | 
          Imf0: 0.429643 +- 0.102263 (-2.097537%)  |            Imf0: 0.438848 +- 0.103945 (0.000000%)  |            Imf0: 0.458020 +- 0.107021 (4.368711%)  | 
             d0: 3.059247 +- 1.198932 (3.120500%)  |              d0: 2.966672 +- 1.160138 (0.000000%)  |             d0: 2.889790 +- 1.105323 (-2.591523%)  | 
                                                   |                                                    |                                                    | 
