                K0s_minCosPointingAngle = 0.999200 |                 K0s_minCosPointingAngle = 0.999300 |                 K0s_minCosPointingAngle = 0.999400 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.715628 (0.000000%)  |          Lambda: 0.600001 +- 0.726129 (0.000000%)  |          Lambda: 0.600002 +- 0.745390 (0.000167%)  | 
         Radius: 2.839778 +- 0.459372 (2.347694%)  |          Radius: 2.774638 +- 0.441917 (0.000000%)  |         Radius: 2.685551 +- 0.414936 (-3.210761%)  | 
          Ref0: -0.339085 +- 0.081231 (4.351827%)  |          Ref0: -0.324944 +- 0.073597 (-0.000000%)  |          Ref0: -0.319042 +- 0.069660 (-1.816313%)  | 
           Imf0: 0.207762 +- 0.098818 (3.929327%)  |            Imf0: 0.199907 +- 0.094794 (0.000000%)  |           Imf0: 0.187805 +- 0.086760 (-6.053815%)  | 
             d0: 2.324759 +- 0.468385 (0.791458%)  |              d0: 2.306504 +- 0.492169 (0.000000%)  |             d0: 2.291772 +- 0.503344 (-0.638716%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.715628 (0.000000%)  |          Lambda: 0.600001 +- 0.726129 (0.000000%)  |          Lambda: 0.600002 +- 0.745390 (0.000167%)  | 
         Radius: 2.839778 +- 0.459372 (2.347694%)  |          Radius: 2.774638 +- 0.441917 (0.000000%)  |         Radius: 2.685551 +- 0.414936 (-3.210761%)  | 
          Ref0: -0.339085 +- 0.081231 (4.351827%)  |          Ref0: -0.324944 +- 0.073597 (-0.000000%)  |          Ref0: -0.319042 +- 0.069660 (-1.816313%)  | 
           Imf0: 0.207762 +- 0.098818 (3.929327%)  |            Imf0: 0.199907 +- 0.094794 (0.000000%)  |           Imf0: 0.187805 +- 0.086760 (-6.053815%)  | 
             d0: 2.324759 +- 0.468385 (0.791458%)  |              d0: 2.306504 +- 0.492169 (0.000000%)  |             d0: 2.291772 +- 0.503344 (-0.638716%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.715628 (0.000000%)  |          Lambda: 0.600001 +- 0.726129 (0.000000%)  |          Lambda: 0.600002 +- 0.745390 (0.000167%)  | 
         Radius: 2.229933 +- 0.370346 (4.863805%)  |          Radius: 2.126504 +- 0.346537 (0.000000%)  |         Radius: 2.042338 +- 0.323910 (-3.957952%)  | 
          Ref0: -0.339085 +- 0.081231 (4.351827%)  |          Ref0: -0.324944 +- 0.073597 (-0.000000%)  |          Ref0: -0.319042 +- 0.069660 (-1.816313%)  | 
           Imf0: 0.207762 +- 0.098818 (3.929327%)  |            Imf0: 0.199907 +- 0.094794 (0.000000%)  |           Imf0: 0.187805 +- 0.086760 (-6.053815%)  | 
             d0: 2.324759 +- 0.468385 (0.791458%)  |              d0: 2.306504 +- 0.492169 (0.000000%)  |             d0: 2.291772 +- 0.503344 (-0.638716%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.715628 (0.000000%)  |          Lambda: 0.600001 +- 0.726129 (0.000000%)  |          Lambda: 0.600002 +- 0.745390 (0.000167%)  | 
         Radius: 2.229933 +- 0.370346 (4.863805%)  |          Radius: 2.126504 +- 0.346537 (0.000000%)  |         Radius: 2.042338 +- 0.323910 (-3.957952%)  | 
          Ref0: -0.339085 +- 0.081231 (4.351827%)  |          Ref0: -0.324944 +- 0.073597 (-0.000000%)  |          Ref0: -0.319042 +- 0.069660 (-1.816313%)  | 
           Imf0: 0.207762 +- 0.098818 (3.929327%)  |            Imf0: 0.199907 +- 0.094794 (0.000000%)  |           Imf0: 0.187805 +- 0.086760 (-6.053815%)  | 
             d0: 2.324759 +- 0.468385 (0.791458%)  |              d0: 2.306504 +- 0.492169 (0.000000%)  |             d0: 2.291772 +- 0.503344 (-0.638716%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.715628 (0.000000%)  |          Lambda: 0.600001 +- 0.726129 (0.000000%)  |          Lambda: 0.600002 +- 0.745390 (0.000167%)  | 
         Radius: 1.621626 +- 0.273725 (3.856647%)  |          Radius: 1.561408 +- 0.260158 (0.000000%)  |         Radius: 1.513375 +- 0.248261 (-3.076262%)  | 
          Ref0: -0.339085 +- 0.081231 (4.351827%)  |          Ref0: -0.324944 +- 0.073597 (-0.000000%)  |          Ref0: -0.319042 +- 0.069660 (-1.816313%)  | 
           Imf0: 0.207762 +- 0.098818 (3.929327%)  |            Imf0: 0.199907 +- 0.094794 (0.000000%)  |           Imf0: 0.187805 +- 0.086760 (-6.053815%)  | 
             d0: 2.324759 +- 0.468385 (0.791458%)  |              d0: 2.306504 +- 0.492169 (0.000000%)  |             d0: 2.291772 +- 0.503344 (-0.638716%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
         Lambda: 0.600001 +- 0.715628 (0.000000%)  |          Lambda: 0.600001 +- 0.726129 (0.000000%)  |          Lambda: 0.600002 +- 0.745390 (0.000167%)  | 
         Radius: 1.621626 +- 0.273725 (3.856647%)  |          Radius: 1.561408 +- 0.260158 (0.000000%)  |         Radius: 1.513375 +- 0.248261 (-3.076262%)  | 
          Ref0: -0.339085 +- 0.081231 (4.351827%)  |          Ref0: -0.324944 +- 0.073597 (-0.000000%)  |          Ref0: -0.319042 +- 0.069660 (-1.816313%)  | 
           Imf0: 0.207762 +- 0.098818 (3.929327%)  |            Imf0: 0.199907 +- 0.094794 (0.000000%)  |           Imf0: 0.187805 +- 0.086760 (-6.053815%)  | 
             d0: 2.324759 +- 0.468385 (0.791458%)  |              d0: 2.306504 +- 0.492169 (0.000000%)  |             d0: 2.291772 +- 0.503344 (-0.638716%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 355.084  NDF = 341  Chi2/NDF = 1.041 |        Chi2 = 350.098  NDF = 341  Chi2/NDF = 1.027 |        Chi2 = 348.457  NDF = 341  Chi2/NDF = 1.022 | 
                                                   |                                                    |                                                    | 
