                       CLAM_maxDcaV0 = 0.400000 |                        CLAM_maxDcaV0 = 0.500000 |                        CLAM_maxDcaV0 = 0.600000 | 
                  ______________________________|                   ______________________________|                   ______________________________| 
                         AnalysisType = LamKchM |                          AnalysisType = LamKchM |                          AnalysisType = LamKchM | 
                        Centrality Type = 0-10% |                         Centrality Type = 0-10% |                         Centrality Type = 0-10% | 
                                                |                                                 |                                                 | 
      Lambda: 0.921389 +- 0.188163 (-0.196591%) |        Lambda: 0.923204 +- 0.195645 (0.000000%) |        Lambda: 0.995985 +- 0.858378 (7.883492%) | 
       Radius: 4.451336 +- 0.426481 (4.064826%) |        Radius: 4.277464 +- 0.435988 (0.000000%) |        Radius: 4.369862 +- 1.349777 (2.160105%) | 
        Ref0: 0.091665 +- 0.045496 (38.153326%) |          Ref0: 0.066351 +- 0.040099 (0.000000%) |         Ref0: 0.064609 +- 1.286172 (-2.625120%) | 
        Imf0: 0.205591 +- 0.055425 (11.772052%) |          Imf0: 0.183938 +- 0.052353 (0.000000%) |         Imf0: 0.179625 +- 1.286339 (-2.344744%) | 
         d0: 5.521887 +- 4.088075 (-23.313972%) |            d0: 7.200643 +- 4.577346 (0.000000%) |           d0: 7.943013 +- 4.725259 (10.309778%) | 
                                                |                                                 |                                                 | 
                  ______________________________|                   ______________________________|                   ______________________________| 
                        AnalysisType = ALamKchP |                         AnalysisType = ALamKchP |                         AnalysisType = ALamKchP | 
                        Centrality Type = 0-10% |                         Centrality Type = 0-10% |                         Centrality Type = 0-10% | 
                                                |                                                 |                                                 | 
       Lambda: 0.958595 +- 0.707726 (2.084805%) |        Lambda: 0.939018 +- 0.191013 (0.000000%) |        Lambda: 0.999875 +- 0.619604 (6.480849%) | 
       Radius: 4.451336 +- 0.426481 (4.064826%) |        Radius: 4.277464 +- 0.435988 (0.000000%) |        Radius: 4.369862 +- 1.349777 (2.160105%) | 
        Ref0: 0.091665 +- 0.045496 (38.153326%) |          Ref0: 0.066351 +- 0.040099 (0.000000%) |         Ref0: 0.064609 +- 1.286172 (-2.625120%) | 
        Imf0: 0.205591 +- 0.055425 (11.772052%) |          Imf0: 0.183938 +- 0.052353 (0.000000%) |         Imf0: 0.179625 +- 1.286339 (-2.344744%) | 
         d0: 5.521887 +- 4.088075 (-23.313972%) |            d0: 7.200643 +- 4.577346 (0.000000%) |           d0: 7.943013 +- 4.725259 (10.309778%) | 
                                                |                                                 |                                                 | 
                  ______________________________|                   ______________________________|                   ______________________________| 
                         AnalysisType = LamKchM |                          AnalysisType = LamKchM |                          AnalysisType = LamKchM | 
                       Centrality Type = 10-30% |                        Centrality Type = 10-30% |                        Centrality Type = 10-30% | 
                                                |                                                 |                                                 | 
       Lambda: 0.899819 +- 0.120364 (2.179778%) |        Lambda: 0.880624 +- 0.118601 (0.000000%) |        Lambda: 0.884848 +- 0.820160 (0.479739%) | 
       Radius: 3.734118 +- 0.429585 (2.733638%) |        Radius: 3.634757 +- 0.432359 (0.000000%) |       Radius: 3.602274 +- 1.356897 (-0.893675%) | 
        Ref0: 0.091665 +- 0.045496 (38.153326%) |          Ref0: 0.066351 +- 0.040099 (0.000000%) |         Ref0: 0.064609 +- 1.286172 (-2.625120%) | 
        Imf0: 0.205591 +- 0.055425 (11.772052%) |          Imf0: 0.183938 +- 0.052353 (0.000000%) |         Imf0: 0.179625 +- 1.286339 (-2.344744%) | 
         d0: 5.521887 +- 4.088075 (-23.313972%) |            d0: 7.200643 +- 4.577346 (0.000000%) |           d0: 7.943013 +- 4.725259 (10.309778%) | 
                                                |                                                 |                                                 | 
                  ______________________________|                   ______________________________|                   ______________________________| 
                        AnalysisType = ALamKchP |                         AnalysisType = ALamKchP |                         AnalysisType = ALamKchP | 
                       Centrality Type = 10-30% |                        Centrality Type = 10-30% |                        Centrality Type = 10-30% | 
                                                |                                                 |                                                 | 
      Lambda: 0.999733 +- 0.982608 (-0.026744%) |        Lambda: 1.000000 +- 0.977460 (0.000000%) |       Lambda: 0.991021 +- 0.959681 (-0.897917%) | 
       Radius: 3.734118 +- 0.429585 (2.733638%) |        Radius: 3.634757 +- 0.432359 (0.000000%) |       Radius: 3.602274 +- 1.356897 (-0.893675%) | 
        Ref0: 0.091665 +- 0.045496 (38.153326%) |          Ref0: 0.066351 +- 0.040099 (0.000000%) |         Ref0: 0.064609 +- 1.286172 (-2.625120%) | 
        Imf0: 0.205591 +- 0.055425 (11.772052%) |          Imf0: 0.183938 +- 0.052353 (0.000000%) |         Imf0: 0.179625 +- 1.286339 (-2.344744%) | 
         d0: 5.521887 +- 4.088075 (-23.313972%) |            d0: 7.200643 +- 4.577346 (0.000000%) |           d0: 7.943013 +- 4.725259 (10.309778%) | 
                                                |                                                 |                                                 | 
                  ______________________________|                   ______________________________|                   ______________________________| 
                         AnalysisType = LamKchM |                          AnalysisType = LamKchM |                          AnalysisType = LamKchM | 
                       Centrality Type = 30-50% |                        Centrality Type = 30-50% |                        Centrality Type = 30-50% | 
                                                |                                                 |                                                 | 
