                K0s_minCosPointingAngle = 0.999200 |                 K0s_minCosPointingAngle = 0.999300 |                 K0s_minCosPointingAngle = 0.999400 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600000 +- 0.863832 (-0.002000%)  |          Lambda: 0.600012 +- 0.647811 (0.000000%)  |         Lambda: 0.600000 +- 0.855449 (-0.002000%)  | 
         Radius: 3.226367 +- 0.685224 (2.729505%)  |          Radius: 3.140643 +- 0.666198 (0.000000%)  |         Radius: 3.091169 +- 0.616912 (-1.575283%)  | 
          Ref0: -0.188029 +- 0.040747 (6.022622%)  |          Ref0: -0.177348 +- 0.038690 (-0.000000%)  |           Ref0: -0.177373 +- 0.035980 (0.014097%)  | 
           Imf0: 0.207372 +- 0.114427 (5.780453%)  |            Imf0: 0.196040 +- 0.108136 (0.000000%)  |           Imf0: 0.189706 +- 0.098048 (-3.230973%)  | 
             d0: 2.826614 +- 0.924773 (0.157184%)  |              d0: 2.822178 +- 1.024258 (0.000000%)  |              d0: 2.880982 +- 0.999926 (2.083639%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600000 +- 0.863832 (-0.002000%)  |          Lambda: 0.600012 +- 0.647811 (0.000000%)  |         Lambda: 0.600000 +- 0.855449 (-0.002000%)  | 
         Radius: 3.226367 +- 0.685224 (2.729505%)  |          Radius: 3.140643 +- 0.666198 (0.000000%)  |         Radius: 3.091169 +- 0.616912 (-1.575283%)  | 
          Ref0: -0.188029 +- 0.040747 (6.022622%)  |          Ref0: -0.177348 +- 0.038690 (-0.000000%)  |           Ref0: -0.177373 +- 0.035980 (0.014097%)  | 
           Imf0: 0.207372 +- 0.114427 (5.780453%)  |            Imf0: 0.196040 +- 0.108136 (0.000000%)  |           Imf0: 0.189706 +- 0.098048 (-3.230973%)  | 
             d0: 2.826614 +- 0.924773 (0.157184%)  |              d0: 2.822178 +- 1.024258 (0.000000%)  |              d0: 2.880982 +- 0.999926 (2.083639%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600000 +- 0.863832 (-0.002000%)  |          Lambda: 0.600012 +- 0.647811 (0.000000%)  |         Lambda: 0.600000 +- 0.855449 (-0.002000%)  | 
         Radius: 2.596847 +- 0.560525 (5.456144%)  |          Radius: 2.462490 +- 0.529128 (0.000000%)  |         Radius: 2.399900 +- 0.485135 (-2.541736%)  | 
          Ref0: -0.188029 +- 0.040747 (6.022622%)  |          Ref0: -0.177348 +- 0.038690 (-0.000000%)  |           Ref0: -0.177373 +- 0.035980 (0.014097%)  | 
           Imf0: 0.207372 +- 0.114427 (5.780453%)  |            Imf0: 0.196040 +- 0.108136 (0.000000%)  |           Imf0: 0.189706 +- 0.098048 (-3.230973%)  | 
             d0: 2.826614 +- 0.924773 (0.157184%)  |              d0: 2.822178 +- 1.024258 (0.000000%)  |              d0: 2.880982 +- 0.999926 (2.083639%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600000 +- 0.863832 (-0.002000%)  |          Lambda: 0.600012 +- 0.647811 (0.000000%)  |         Lambda: 0.600000 +- 0.855449 (-0.002000%)  | 
         Radius: 2.596847 +- 0.560525 (5.456144%)  |          Radius: 2.462490 +- 0.529128 (0.000000%)  |         Radius: 2.399900 +- 0.485135 (-2.541736%)  | 
          Ref0: -0.188029 +- 0.040747 (6.022622%)  |          Ref0: -0.177348 +- 0.038690 (-0.000000%)  |           Ref0: -0.177373 +- 0.035980 (0.014097%)  | 
           Imf0: 0.207372 +- 0.114427 (5.780453%)  |            Imf0: 0.196040 +- 0.108136 (0.000000%)  |           Imf0: 0.189706 +- 0.098048 (-3.230973%)  | 
             d0: 2.826614 +- 0.924773 (0.157184%)  |              d0: 2.822178 +- 1.024258 (0.000000%)  |              d0: 2.880982 +- 0.999926 (2.083639%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600000 +- 0.863832 (-0.002000%)  |          Lambda: 0.600012 +- 0.647811 (0.000000%)  |         Lambda: 0.600000 +- 0.855449 (-0.002000%)  | 
         Radius: 1.889153 +- 0.394110 (4.186020%)  |          Radius: 1.813250 +- 0.378293 (0.000000%)  |         Radius: 1.773550 +- 0.351431 (-2.189439%)  | 
          Ref0: -0.188029 +- 0.040747 (6.022622%)  |          Ref0: -0.177348 +- 0.038690 (-0.000000%)  |           Ref0: -0.177373 +- 0.035980 (0.014097%)  | 
           Imf0: 0.207372 +- 0.114427 (5.780453%)  |            Imf0: 0.196040 +- 0.108136 (0.000000%)  |           Imf0: 0.189706 +- 0.098048 (-3.230973%)  | 
             d0: 2.826614 +- 0.924773 (0.157184%)  |              d0: 2.822178 +- 1.024258 (0.000000%)  |              d0: 2.880982 +- 0.999926 (2.083639%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.600000 +- 0.863832 (-0.002000%)  |          Lambda: 0.600012 +- 0.647811 (0.000000%)  |         Lambda: 0.600000 +- 0.855449 (-0.002000%)  | 
         Radius: 1.889153 +- 0.394110 (4.186020%)  |          Radius: 1.813250 +- 0.378293 (0.000000%)  |         Radius: 1.773550 +- 0.351431 (-2.189439%)  | 
          Ref0: -0.188029 +- 0.040747 (6.022622%)  |          Ref0: -0.177348 +- 0.038690 (-0.000000%)  |           Ref0: -0.177373 +- 0.035980 (0.014097%)  | 
           Imf0: 0.207372 +- 0.114427 (5.780453%)  |            Imf0: 0.196040 +- 0.108136 (0.000000%)  |           Imf0: 0.189706 +- 0.098048 (-3.230973%)  | 
             d0: 2.826614 +- 0.924773 (0.157184%)  |              d0: 2.822178 +- 1.024258 (0.000000%)  |              d0: 2.880982 +- 0.999926 (2.083639%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 356.541  NDF = 341  Chi2/NDF = 1.046 |        Chi2 = 359.483  NDF = 341  Chi2/NDF = 1.054 |        Chi2 = 361.818  NDF = 341  Chi2/NDF = 1.061 | 
                                                   |                                                    |                                                    | 
