                K0s_minCosPointingAngle = 0.999200 |                 K0s_minCosPointingAngle = 0.999300 |                 K0s_minCosPointingAngle = 0.999400 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.109718 (-0.005000%)  |          Lambda: 0.400020 +- 0.199595 (0.000000%)  |         Lambda: 0.400002 +- 0.101536 (-0.004500%)  | 
         Radius: 2.959078 +- 0.567678 (3.160951%)  |          Radius: 2.868409 +- 0.523473 (0.000000%)  |         Radius: 2.824625 +- 0.503747 (-1.526421%)  | 
          Ref0: -0.196633 +- 0.041633 (6.900039%)  |          Ref0: -0.183941 +- 0.037446 (-0.000000%)  |          Ref0: -0.182257 +- 0.037348 (-0.915511%)  | 
           Imf0: 0.165372 +- 0.085450 (7.470951%)  |            Imf0: 0.153876 +- 0.074501 (0.000000%)  |           Imf0: 0.149402 +- 0.069710 (-2.907536%)  | 
             d0: 2.406426 +- 1.659567 (1.666469%)  |              d0: 2.366981 +- 1.949956 (0.000000%)  |              d0: 2.508282 +- 1.829874 (5.969672%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.109718 (-0.005000%)  |          Lambda: 0.400020 +- 0.199595 (0.000000%)  |         Lambda: 0.400002 +- 0.101536 (-0.004500%)  | 
         Radius: 2.959078 +- 0.567678 (3.160951%)  |          Radius: 2.868409 +- 0.523473 (0.000000%)  |         Radius: 2.824625 +- 0.503747 (-1.526421%)  | 
          Ref0: -0.196633 +- 0.041633 (6.900039%)  |          Ref0: -0.183941 +- 0.037446 (-0.000000%)  |          Ref0: -0.182257 +- 0.037348 (-0.915511%)  | 
           Imf0: 0.165372 +- 0.085450 (7.470951%)  |            Imf0: 0.153876 +- 0.074501 (0.000000%)  |           Imf0: 0.149402 +- 0.069710 (-2.907536%)  | 
             d0: 2.406426 +- 1.659567 (1.666469%)  |              d0: 2.366981 +- 1.949956 (0.000000%)  |              d0: 2.508282 +- 1.829874 (5.969672%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.109718 (-0.005000%)  |          Lambda: 0.400020 +- 0.199595 (0.000000%)  |         Lambda: 0.400002 +- 0.101536 (-0.004500%)  | 
         Radius: 2.646737 +- 0.533484 (6.617508%)  |          Radius: 2.482460 +- 0.476940 (0.000000%)  |         Radius: 2.411424 +- 0.451310 (-2.861516%)  | 
          Ref0: -0.196633 +- 0.041633 (6.900039%)  |          Ref0: -0.183941 +- 0.037446 (-0.000000%)  |          Ref0: -0.182257 +- 0.037348 (-0.915511%)  | 
           Imf0: 0.165372 +- 0.085450 (7.470951%)  |            Imf0: 0.153876 +- 0.074501 (0.000000%)  |           Imf0: 0.149402 +- 0.069710 (-2.907536%)  | 
             d0: 2.406426 +- 1.659567 (1.666469%)  |              d0: 2.366981 +- 1.949956 (0.000000%)  |              d0: 2.508282 +- 1.829874 (5.969672%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.109718 (-0.005000%)  |          Lambda: 0.400020 +- 0.199595 (0.000000%)  |         Lambda: 0.400002 +- 0.101536 (-0.004500%)  | 
         Radius: 2.646737 +- 0.533484 (6.617508%)  |          Radius: 2.482460 +- 0.476940 (0.000000%)  |         Radius: 2.411424 +- 0.451310 (-2.861516%)  | 
          Ref0: -0.196633 +- 0.041633 (6.900039%)  |          Ref0: -0.183941 +- 0.037446 (-0.000000%)  |          Ref0: -0.182257 +- 0.037348 (-0.915511%)  | 
           Imf0: 0.165372 +- 0.085450 (7.470951%)  |            Imf0: 0.153876 +- 0.074501 (0.000000%)  |           Imf0: 0.149402 +- 0.069710 (-2.907536%)  | 
             d0: 2.406426 +- 1.659567 (1.666469%)  |              d0: 2.366981 +- 1.949956 (0.000000%)  |              d0: 2.508282 +- 1.829874 (5.969672%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.109718 (-0.005000%)  |          Lambda: 0.400020 +- 0.199595 (0.000000%)  |         Lambda: 0.400002 +- 0.101536 (-0.004500%)  | 
         Radius: 1.931433 +- 0.372621 (4.530498%)  |          Radius: 1.847722 +- 0.343737 (0.000000%)  |         Radius: 1.809687 +- 0.332896 (-2.058481%)  | 
          Ref0: -0.196633 +- 0.041633 (6.900039%)  |          Ref0: -0.183941 +- 0.037446 (-0.000000%)  |          Ref0: -0.182257 +- 0.037348 (-0.915511%)  | 
           Imf0: 0.165372 +- 0.085450 (7.470951%)  |            Imf0: 0.153876 +- 0.074501 (0.000000%)  |           Imf0: 0.149402 +- 0.069710 (-2.907536%)  | 
             d0: 2.406426 +- 1.659567 (1.666469%)  |              d0: 2.366981 +- 1.949956 (0.000000%)  |              d0: 2.508282 +- 1.829874 (5.969672%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.400000 +- 0.109718 (-0.005000%)  |          Lambda: 0.400020 +- 0.199595 (0.000000%)  |         Lambda: 0.400002 +- 0.101536 (-0.004500%)  | 
         Radius: 1.931433 +- 0.372621 (4.530498%)  |          Radius: 1.847722 +- 0.343737 (0.000000%)  |         Radius: 1.809687 +- 0.332896 (-2.058481%)  | 
          Ref0: -0.196633 +- 0.041633 (6.900039%)  |          Ref0: -0.183941 +- 0.037446 (-0.000000%)  |          Ref0: -0.182257 +- 0.037348 (-0.915511%)  | 
           Imf0: 0.165372 +- 0.085450 (7.470951%)  |            Imf0: 0.153876 +- 0.074501 (0.000000%)  |           Imf0: 0.149402 +- 0.069710 (-2.907536%)  | 
             d0: 2.406426 +- 1.659567 (1.666469%)  |              d0: 2.366981 +- 1.949956 (0.000000%)  |              d0: 2.508282 +- 1.829874 (5.969672%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
       Chi2 = 351.348  NDF = 341  Chi2/NDF = 1.030 |        Chi2 = 354.235  NDF = 341  Chi2/NDF = 1.039 |        Chi2 = 356.834  NDF = 341  Chi2/NDF = 1.046 | 
                                                   |                                                    |                                                    | 
