                K0s_minCosPointingAngle = 0.999200 |                 K0s_minCosPointingAngle = 0.999300 |                 K0s_minCosPointingAngle = 0.999400 | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.347111 (0.000000%)  |          Lambda: 1.100000 +- 0.350465 (0.000000%)  |          Lambda: 1.100000 +- 0.343842 (0.000000%)  | 
         Radius: 5.774336 +- 0.549719 (0.168337%)  |          Radius: 5.764632 +- 0.544044 (0.000000%)  |         Radius: 5.684169 +- 0.556951 (-1.395805%)  | 
         Ref0: 0.073421 +- 0.119967 (-12.739482%)  |            Ref0: 0.084140 +- 0.120612 (0.000000%)  |           Ref0: 0.078919 +- 0.119421 (-6.205134%)  | 
          Imf0: 0.589220 +- 0.157198 (-0.371481%)  |            Imf0: 0.591417 +- 0.156022 (0.000000%)  |           Imf0: 0.580583 +- 0.157801 (-1.831872%)  | 
           d0: -2.267131 +- 1.152511 (-3.608253%)  |            d0: -2.351997 +- 1.166859 (-0.000000%)  |             d0: -2.371577 +- 1.170318 (0.832484%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                            CentralityType = 0-10% |                             CentralityType = 0-10% |                             CentralityType = 0-10% | 
                                                   |                                                    |                                                    | 
         Lambda: 1.100000 +- 0.347111 (0.000000%)  |          Lambda: 1.100000 +- 0.350465 (0.000000%)  |          Lambda: 1.100000 +- 0.343842 (0.000000%)  | 
         Radius: 5.774336 +- 0.549719 (0.168337%)  |          Radius: 5.764632 +- 0.544044 (0.000000%)  |         Radius: 5.684169 +- 0.556951 (-1.395805%)  | 
         Ref0: 0.073421 +- 0.119967 (-12.739482%)  |            Ref0: 0.084140 +- 0.120612 (0.000000%)  |           Ref0: 0.078919 +- 0.119421 (-6.205134%)  | 
          Imf0: 0.589220 +- 0.157198 (-0.371481%)  |            Imf0: 0.591417 +- 0.156022 (0.000000%)  |           Imf0: 0.580583 +- 0.157801 (-1.831872%)  | 
           d0: -2.267131 +- 1.152511 (-3.608253%)  |            d0: -2.351997 +- 1.166859 (-0.000000%)  |             d0: -2.371577 +- 1.170318 (0.832484%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.766574 +- 0.114291 (-1.144498%)  |          Lambda: 0.775449 +- 0.115685 (0.000000%)  |          Lambda: 0.785479 +- 0.117697 (1.293444%)  | 
        Radius: 4.273673 +- 0.418051 (-0.137421%)  |          Radius: 4.279554 +- 0.416767 (0.000000%)  |         Radius: 4.244179 +- 0.413979 (-0.826605%)  | 
         Ref0: 0.073421 +- 0.119967 (-12.739482%)  |            Ref0: 0.084140 +- 0.120612 (0.000000%)  |           Ref0: 0.078919 +- 0.119421 (-6.205134%)  | 
          Imf0: 0.589220 +- 0.157198 (-0.371481%)  |            Imf0: 0.591417 +- 0.156022 (0.000000%)  |           Imf0: 0.580583 +- 0.157801 (-1.831872%)  | 
           d0: -2.267131 +- 1.152511 (-3.608253%)  |            d0: -2.351997 +- 1.166859 (-0.000000%)  |             d0: -2.371577 +- 1.170318 (0.832484%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 10-30% |                            CentralityType = 10-30% |                            CentralityType = 10-30% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.766574 +- 0.114291 (-1.144498%)  |          Lambda: 0.775449 +- 0.115685 (0.000000%)  |          Lambda: 0.785479 +- 0.117697 (1.293444%)  | 
        Radius: 4.273673 +- 0.418051 (-0.137421%)  |          Radius: 4.279554 +- 0.416767 (0.000000%)  |         Radius: 4.244179 +- 0.413979 (-0.826605%)  | 
         Ref0: 0.073421 +- 0.119967 (-12.739482%)  |            Ref0: 0.084140 +- 0.120612 (0.000000%)  |           Ref0: 0.078919 +- 0.119421 (-6.205134%)  | 
          Imf0: 0.589220 +- 0.157198 (-0.371481%)  |            Imf0: 0.591417 +- 0.156022 (0.000000%)  |           Imf0: 0.580583 +- 0.157801 (-1.831872%)  | 
           d0: -2.267131 +- 1.152511 (-3.608253%)  |            d0: -2.351997 +- 1.166859 (-0.000000%)  |             d0: -2.371577 +- 1.170318 (0.832484%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                              AnalysisType = LamK0 |                               AnalysisType = LamK0 |                               AnalysisType = LamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.841799 +- 0.144621 (-1.043988%)  |          Lambda: 0.850680 +- 0.145766 (0.000000%)  |          Lambda: 0.864355 +- 0.148249 (1.607537%)  | 
        Radius: 3.413967 +- 0.374957 (-0.212817%)  |          Radius: 3.421248 +- 0.374559 (0.000000%)  |         Radius: 3.400955 +- 0.373383 (-0.593146%)  | 
         Ref0: 0.073421 +- 0.119967 (-12.739482%)  |            Ref0: 0.084140 +- 0.120612 (0.000000%)  |           Ref0: 0.078919 +- 0.119421 (-6.205134%)  | 
          Imf0: 0.589220 +- 0.157198 (-0.371481%)  |            Imf0: 0.591417 +- 0.156022 (0.000000%)  |           Imf0: 0.580583 +- 0.157801 (-1.831872%)  | 
           d0: -2.267131 +- 1.152511 (-3.608253%)  |            d0: -2.351997 +- 1.166859 (-0.000000%)  |             d0: -2.371577 +- 1.170318 (0.832484%)  | 
                                                   |                                                    |                                                    | 
                    ______________________________ |                     ______________________________ |                     ______________________________ | 
                             AnalysisType = ALamK0 |                              AnalysisType = ALamK0 |                              AnalysisType = ALamK0 | 
                           CentralityType = 30-50% |                            CentralityType = 30-50% |                            CentralityType = 30-50% | 
                                                   |                                                    |                                                    | 
        Lambda: 0.841799 +- 0.144621 (-1.043988%)  |          Lambda: 0.850680 +- 0.145766 (0.000000%)  |          Lambda: 0.864355 +- 0.148249 (1.607537%)  | 
        Radius: 3.413967 +- 0.374957 (-0.212817%)  |          Radius: 3.421248 +- 0.374559 (0.000000%)  |         Radius: 3.400955 +- 0.373383 (-0.593146%)  | 
         Ref0: 0.073421 +- 0.119967 (-12.739482%)  |            Ref0: 0.084140 +- 0.120612 (0.000000%)  |           Ref0: 0.078919 +- 0.119421 (-6.205134%)  | 
          Imf0: 0.589220 +- 0.157198 (-0.371481%)  |            Imf0: 0.591417 +- 0.156022 (0.000000%)  |           Imf0: 0.580583 +- 0.157801 (-1.831872%)  | 
           d0: -2.267131 +- 1.152511 (-3.608253%)  |            d0: -2.351997 +- 1.166859 (-0.000000%)  |             d0: -2.371577 +- 1.170318 (0.832484%)  | 
                                                   |                                                    |                                                    | 
                    ****************************** |                     ****************************** |                     ****************************** | 
      Chi2 = 1080.851  NDF = 981  Chi2/NDF = 1.102 |       Chi2 = 1086.504  NDF = 981  Chi2/NDF = 1.108 |       Chi2 = 1091.122  NDF = 981  Chi2/NDF = 1.112 | 
                                                   |                                                    |                                                    | 
